Classificador - ErroMedioTreino, ErroMedioTeste 
RF25k - 156107221.97867408, 2454602116.3614926
TREE25k - 2.4922850629293383e-09, 8925533939.104927
SVM25k - 127893662626.3158, 120374787439.2007
RF100 - 11933048974.949049 STD: 7700893709.0771675 , 3981975167.5928187
TREE100 - 24930152820.6141 STD: 14295273022.565596 , 17350775070.053127
SVM100 - 164679592863.6543 STD: 60009705453.11735 , 207343051776.39917


Teste R2
RF25k - 0.998781829594252, 0.9795488074350489
TREE25k - 1.0, 0.9256344594030497
SVM25k - 0.001991881481436475, -0.0029356454451900937
RF100 - 0.9038911026780867 STD: 0.06872399473631102 , 0.9782874110619022
TREE100 - 0.8008834786982919 STD: 0.13391785532410022 , 0.9053911109442706
SVM100 - 0.15773850890472957 STD: 0.04233323934959793 , -0.13058325652824232
